name,id,tier,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,number
Ultralight Electron Maser,nom_ultralight_electron_maser,1,150,280,,12,,10,75,2,,ENERGY,17,,,0.18,,,,,,,,1050,,,75,PD,1337103
Twin Ultralight Electron Maser,nom_twin_ultralight_electron_maser,1,310,295,,15,,10,75,3,,ENERGY,17,,,0.1,2,0.07,,,,,,1050,,,75,PD,1337106
Light Electron Maser,nom_light_electron_maser,1,350,400,,33,,15,65,4,,ENERGY,32,,,0.3,,,,,,,,820,,,100,PD,1337100
Heavy Electron Maser,nom_heavy_electron_maser,1,1100,600,,60,,30,45,8,,ENERGY,60,,,0.435,,,,,,,,675,,,200,,1337101
Twin Electron Maser,nom_twin_electron_maser,1,4000,815,,68,,30,45,18,,ENERGY,60,,,0.289,2,0.2,,,,,,675,,,200,,1337104
Maser Pulse Beam,nom_maser_pulse_beam,1,3000,1250,,240,,80,15,20,,ENERGY,800,,,1.8,,,,,,,,3000,,,100,,1337105
Solar Crucible,nom_solar_crucible,1,5500,800,1100,,20,0,5,30,,ENERGY,,2500,0.05,2,1,3,,,,,10000,,,,,,1337999
Doom Cannon,nom_doom_cannon,1,12500,1100,,1750,,6000,5,75,30,ENERGY,2000,,0.12,0.35,,,,,,,,360,,,99999,,1337102
Habitat Ring,nom_decorative_oasis_habitat_ring,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,1337099
Structural Support,nom_decorative_oasis_habitat_ring_structural_support_beam,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,1337098
