Androsynth Guardian, starting|15|20|24|13|15|6|6|18|3|2
Androsynth Guardian, Blazer  |15|20|24|||1|3|6|40|3
Ariloulaleelay Skiff         |16|6|20|14|11|1|2|9|27|1
Chenjesu Broodhome           |28|36|30|5|12|8|7|16|1|6
Chenjesu DOGI                ||0|0|||1||13|40|
Chmmr Avatar                 |30|42|42|6|7|4|5|11|1|2
Chmmr Zapsat                 ||0|0|||1||3|31|1
Druuge Mauler                |17|14|32|3|17|3|6|2|5|6
Earthling Cruiser            |11|18|18|23|12|7|3|18|2|4
Ilwrath Avenger              |10|22|16|12|1|4|4|17|30|1
Kohr-Ah Marauder             |30|42|42|5|14|4|6|14|1|4
Melnorme Trader              |18|20|42|5|14|5|6|10|4|16
Mmrnmhrm Transformer, First  |19|20|10|14|2|3|4|20|26|1
Mmrnmhrm Transformer, Second |19|20|10|14|5|4|8|7|3|1
Mycon Podship                |21|20|40|28|13|2|7|16|2|10
Orz Nemesis                  |23|16|20|5|11|6|3|11|13|3
Orz marine                   ||1|0|||3||12|40|1
Pkunk Fury                   |20|8|12|4|8|3|2|5|27|1
Shofixti Scout               |5|6|4|5|3|6|3|11|19|18
Slylandro Probe              |17|12|20|1||1|2|6|22|1
Spathi Eluder                |18|30|10|22|9|3|3|8|14|2
Supox Blade                  |16|12|16|5|6|4|3|9|15|1
Syreen Penetrator            |13|12|16|12|10|3|3|10|14|8
Thraddash Torch              |10|8|24|9|12|3|3|4|11|2
Umgah Drone                  |7|10|30|5||1|6|1|33|1
Ur-Quan Dreadnought          |30|42|42|17|14|4|6|14|12|6
Ur-Quan fighter              ||1||||1|1|12|34|1
Utwig Jugger                 |22|20|10|2||5|3|10|16|1
VUX Intruder                 |12|20|40|7|16|2|7|19|6|1
Yehat Terminator             |23|20|10|14|2|4|4|14|21|1
Zoq-Fot-Pik Stinger          |6|10|10|14|4|3|3|9|20|12
